target,target_name,render_seed,submission_rank,branch,iteration,candidate_index,prompt,render,top3_render,clip_similarity,lpips,pixel_mse,pixel_rmse,rank_clip,rank_lpips,rank_mse,rank_composite
statement/TP2-students/students/tp2-chosen/1159_25.png,1159_25.png,1159,1,lpips,8,148,"Glass beaker overflowing with honey-colored orange juice, sprinkled with pieces of ripe oranges, natural light casting soft glows, Octane RealPhoto style, smooth!",outputs/phase4_s5678/1159_25/lpips/iter08_02.png,outputs/phase4_s5678_top3/1159_25_rank1_lpips_cand148.png,0.9307688474655151,0.39698731899261475,0.020282162353396416,0.14241546392440796,17,1,2,6.667
statement/TP2-students/students/tp2-chosen/1159_25.png,1159_25.png,1159,2,mse,3,52,"Glass filled with bright orange juice, scattered citrus slices nearby, glossy liquid surface, warm ambient light, detailed textures!",outputs/phase4_s5678/1159_25/mse/iter03_01.png,outputs/phase4_s5678_top3/1159_25_rank2_mse_cand052.png,0.9315294027328491,0.43034473061561584,0.022965097799897194,0.15154239535331726,12,9,7,9.333
statement/TP2-students/students/tp2-chosen/1159_25.png,1159_25.png,1159,3,mse,3,53,"Clear glass containing vibrant orange juice, surrounded by citrus slices, reflective liquid, soft natural lighting, precise positioning!",outputs/phase4_s5678/1159_25/mse/iter03_02.png,outputs/phase4_s5678_top3/1159_25_rank3_mse_cand053.png,0.9371278285980225,0.46406233310699463,0.02430078014731407,0.15588708221912384,4,17,8,9.667
statement/TP2-students/students/tp2-chosen/1159_29.png,1159_29.png,1159,1,mse,6,111,"the palm tree on the beach at sunset, vibrant greens against glowing sky, textured trunk, rocky base, gentle waves rolling ashore, diffused natural light",outputs/phase4_s5678/1159_29/mse/iter06_01.png,outputs/phase4_s5678_top3/1159_29_rank1_mse_cand111.png,0.921989917755127,0.6474047303199768,0.03246806189417839,0.18018896877765656,3,11,19,11.0
statement/TP2-students/students/tp2-chosen/1159_29.png,1159_29.png,1159,2,mse,3,52,"the palm tree on the beach at sunset, vibrant greens against glowing skies, textured trunk, rocky base, gentle waves rolling ashore, diffuse natural light, detailed rendering",outputs/phase4_s5678/1159_29/mse/iter03_01.png,outputs/phase4_s5678_top3/1159_29_rank2_mse_cand052.png,0.9188230037689209,0.6603877544403076,0.031103311106562614,0.1763613075017929,4,25,12,13.667
statement/TP2-students/students/tp2-chosen/1159_29.png,1159_29.png,1159,3,mse,5,95,"the palm tree on the beach at sunset, vibrant greens against glowing sky, textured trunk, rocky base, gentle waves rolling ashore, diffuse natural light, detailed rendering",outputs/phase4_s5678/1159_29/mse/iter05_05.png,outputs/phase4_s5678_top3/1159_29_rank3_mse_cand095.png,0.9164815545082092,0.661051869392395,0.030461646616458893,0.17453265190124512,8,26,10,14.667
statement/TP2-students/students/tp2-chosen/1159_3.png,1159_3.png,1159,1,clip,1,5,"a powerful blonde fighter unleashing flame attacks, intricate metal gear, rich warm color scheme, shadowy setting, striking contrasts, energetic stance",outputs/phase4_s5678/1159_3/clip/iter01_04.png,outputs/phase4_s5678_top3/1159_3_rank1_clip_cand005.png,0.8128765821456909,0.6220133304595947,0.031543467193841934,0.1776048094034195,18,13,2,11.0
statement/TP2-students/students/tp2-chosen/1159_3.png,1159_3.png,1159,2,composite,7,114,"a powerful ash-haired warrior channeling fire, sleek silver armor, vibrant red accents, symmetrical composition, moody atmosphere, high contrast, sharp lines, intense focus, electrifying force",outputs/phase4_s5678/1159_3/composite/iter07_06.png,outputs/phase4_s5678_top3/1159_3_rank2_composite_cand114.png,0.8223710060119629,0.6281691193580627,0.03755713254213333,0.19379661977291107,9,19,12,13.333
statement/TP2-students/students/tp2-chosen/1159_3.png,1159_3.png,1159,3,composite,5,82,"a resolute ash-haired girl unleashing flames, modern combat attire, warm orange highlights, balanced framing, mysterious ambiance, vibrant colors, fine details, focused gaze, electric energy",outputs/phase4_s5678/1159_3/composite/iter05_03.png,outputs/phase4_s5678_top3/1159_3_rank3_composite_cand082.png,0.8451759815216064,0.6317607760429382,0.041223470121622086,0.2030356377363205,2,21,26,16.333
statement/TP2-students/students/tp2-chosen/1159_7.png,1159_7.png,1159,1,mse,10,193,"A hedgehog, warm tan fur, sparkling spine tips, cotton candy vibe, Kim Keever's sculpture, SCP-914, unique design, crisscross spikes, transparent block, incredibly fluffy, fluffball head, optical illusion, diffused daylight, angled slightly",outputs/phase4_s5678/1159_7/mse/iter10_02.png,outputs/phase4_s5678_top3/1159_7_rank1_mse_cand193.png,0.7471932768821716,0.5405969619750977,0.020417416468262672,0.14288952946662903,43,6,24,24.333
statement/TP2-students/students/tp2-chosen/1159_7.png,1159_7.png,1159,2,clip,3,44,"Hedgehog, light beige fur, charming hedgehog seated on sugary cube, Kim Keever's piece, SCP-914, distinctive creation, checkered spikes, see-through sugar blocks, super plush, feathered head, illusion effect, tight framing",outputs/phase4_s5678/1159_7/clip/iter03_03.png,outputs/phase4_s5678_top3/1159_7_rank2_clip_cand044.png,0.8075027465820312,0.5612534880638123,0.023325162008404732,0.15272577106952667,1,28,49,26.0
statement/TP2-students/students/tp2-chosen/1159_7.png,1159_7.png,1159,3,clip,9,165,"Hedgehog, light beige fur, adorable hedgehog sitting atop sugary cube, Kim Keever's piece, SCP-914, checkered spikes, translucent sugar blocks, tight framing, warm indoor",outputs/phase4_s5678/1159_7/clip/iter09_04.png,outputs/phase4_s5678_top3/1159_7_rank3_clip_cand165.png,0.7800725698471069,0.5640799403190613,0.02310257963836193,0.15199533104896545,9,34,44,29.0
statement/TP2-students/students/tp2-chosen/7836.png,7836.png,7836,1,composite,10,200,"Astronaut, space explorer standing on the reddish-brown planet’s surface beneath swirling nebulae, flat matte painting, vertical wallpaper, to infinity and beyond, gazing off into the horizon, cover art, dark blurry background",outputs/phase4_s5678/7836/composite/iter10_04.png,outputs/phase4_s5678_top3/7836_rank1_composite_cand200.png,0.9170753955841064,0.42470455169677734,0.010748808272182941,0.1036764606833458,2,2,1,1.667
statement/TP2-students/students/tp2-chosen/7836.png,7836.png,7836,2,composite,8,159,"Astronaut, astronaut standing on the reddish-brown planet's surface with swirling nebulae overhead, flat matte painting, vertical wallpaper, to infinity and beyond, gazing off into the horizon, cover art, dark blurry background",outputs/phase4_s5678/7836/composite/iter08_04.png,outputs/phase4_s5678_top3/7836_rank2_composite_cand159.png,0.9198984503746033,0.44822362065315247,0.012031648308038712,0.10968887060880661,1,16,2,6.333
statement/TP2-students/students/tp2-chosen/7836.png,7836.png,7836,3,composite,11,220,"Astronaut, solitary presence on the reddish-brown planet, framed by swirling nebulae, flat matte painting, vertical wallpaper, to infinity and beyond, gazing off into the horizon, cover art, dark blurry background",outputs/phase4_s5678/7836/composite/iter11_04.png,outputs/phase4_s5678_top3/7836_rank3_composite_cand220.png,0.8989510536193848,0.4301563501358032,0.012380300089716911,0.11126679927110672,13,4,6,7.667
statement/TP2-students/students/tp2-chosen/9338.png,9338.png,9338,1,clip,2,24,"Rainbow-colored hamster, mural-style depiction of a mouse with vibrant fur and tail, Julie Dillon's aesthetic, warm ambient lighting, squirrel king illustration, highlighted on Dribble, subdued photographic tones, Andrew Stevovich rendering",outputs/phase4_s5678/9338/clip/iter02_03.png,outputs/phase4_s5678_top3/9338_rank1_clip_cand024.png,0.869883120059967,0.5193674564361572,0.01648559235036373,0.12839622795581818,10,11,28,16.333
