target,target_name,render_seed,submission_rank,branch,iteration,candidate_index,prompt,render,top3_render,clip_similarity,lpips,pixel_mse,pixel_rmse,rank_clip,rank_lpips,rank_mse,rank_composite
statement/TP2-students/students/tp2-chosen/1159_25.png,1159_25.png,1159,1,lpips,6,111,"Tangy orange juice spills into a clear glass, accented with sharp orange pieces, recorded in natural ambient light.",outputs/phase4_s9012/1159_25/lpips/iter06_05.png,outputs/phase4_s9012_top3/1159_25_rank1_lpips_cand111.png,0.9382059574127197,0.3930087685585022,0.020998068153858185,0.14490710198879242,12,6,6,8.0
statement/TP2-students/students/tp2-chosen/1159_25.png,1159_25.png,1159,2,mse,7,133,"Vibrant orange juice in a clear glass, surrounded by citrus bits, deep golden tone, soft ambient light, precise positioning!",outputs/phase4_s9012/1159_25/mse/iter07_02.png,outputs/phase4_s9012_top3/1159_25_rank2_mse_cand133.png,0.9328747987747192,0.39044809341430664,0.019682275131344795,0.14029353857040405,19,5,4,9.333
statement/TP2-students/students/tp2-chosen/1159_25.png,1159_25.png,1159,3,lpips,3,48,"Vibrant orange juice fills a transparent glass, surrounded by crisp orange bits, evoking a sense of invigorating citrus delight.",outputs/phase4_s9012/1159_25/lpips/iter03_02.png,outputs/phase4_s9012_top3/1159_25_rank3_lpips_cand048.png,0.9426730275154114,0.4536418318748474,0.020091239362955093,0.14174357056617737,5,20,5,10.0
statement/TP2-students/students/tp2-chosen/1159_29.png,1159_29.png,1159,1,clip,10,183,"the slender palm tree leaning into frothy waves, deep azure ocean bathed in warm sunlight, lush green fronds swaying gently, cloudy twilight sky, vivid hues, tranquil feeling, rendered photo-realistic",outputs/phase4_s9012/1159_29/clip/iter10_02.png,outputs/phase4_s9012_top3/1159_29_rank1_clip_cand183.png,0.9187216758728027,0.574177086353302,0.02524443529546261,0.15888497233390808,21,6,2,9.667
statement/TP2-students/students/tp2-chosen/1159_29.png,1159_29.png,1159,2,clip,12,225,"the slender palm tree leaning slightly into frothy waves, deep azure ocean glowing warmly, lush green fronds fluttering lightly, muted dusk sky, subdued tones, tranquil feeling, rendered photo-realistic",outputs/phase4_s9012/1159_29/clip/iter12_04.png,outputs/phase4_s9012_top3/1159_29_rank2_clip_cand225.png,0.9176219701766968,0.5803927183151245,0.025325847789645195,0.15914097428321838,25,8,3,12.0
statement/TP2-students/students/tp2-chosen/1159_29.png,1159_29.png,1159,3,clip,1,6,"the imposing palm tree towering over foamy waves, brilliant aquamarine ocean meeting darkened skies, broad leafy crown, moody evening light, bold palettes, calming effect",outputs/phase4_s9012/1159_29/clip/iter01_05.png,outputs/phase4_s9012_top3/1159_29_rank3_clip_cand006.png,0.9166761636734009,0.5589392185211182,0.026341494172811508,0.16230063140392303,30,3,8,13.667
statement/TP2-students/students/tp2-chosen/1159_3.png,1159_3.png,1159,1,composite,6,116,"a resolute blonde fighter unleashing fire, futuristic armor, smoky environment, dynamic pose, vivid colors, deep shadows, sharp lines, intense focus, explosive effect, refined art",outputs/phase4_s9012/1159_3/composite/iter06_01.png,outputs/phase4_s9012_top3/1159_3_rank1_composite_cand116.png,0.8223385810852051,0.5860936641693115,0.03299580514431,0.18164747953414917,16,18,14,16.0
statement/TP2-students/students/tp2-chosen/1159_3.png,1159_3.png,1159,2,composite,4,80,"a resolute blonde fighter harnessing fire, futuristic armor, smoky environment, balanced composition, vivid colors, deep shadows, sharp lines, intense focus, explosive effect, refined art",outputs/phase4_s9012/1159_3/composite/iter04_05.png,outputs/phase4_s9012_top3/1159_3_rank2_composite_cand080.png,0.8117581009864807,0.5783268213272095,0.027247540652751923,0.16506828367710114,38,9,4,17.0
statement/TP2-students/students/tp2-chosen/1159_3.png,1159_3.png,1159,3,composite,6,120,"a resolute blonde warrior igniting flames, futuristic armor, smoky environment, dynamic pose, vibrant colors, deep shadows, sharp lines, intense focus, explosive effect, refined art",outputs/phase4_s9012/1159_3/composite/iter06_05.png,outputs/phase4_s9012_top3/1159_3_rank3_composite_cand120.png,0.8175823092460632,0.5849279761314392,0.033776119351387024,0.18378280103206635,28,14,17,19.667
statement/TP2-students/students/tp2-chosen/1159_7.png,1159_7.png,1159,1,lpips,12,230,"hedgehog , pale gold fur , tiny hedgehog sitting on sugary blocks , kim keever ’ s piece , scp - 9 1 4 , unique design , checkered spines , transparent cube , outrageously fluffy , furry face , optical illusion , tight framing , warm backlighting , faint glows",outputs/phase4_s9012/1159_7/lpips/iter12_04.png,outputs/phase4_s9012_top3/1159_7_rank1_lpips_cand230.png,0.7693232893943787,0.5556780099868774,0.0255951639264822,0.15998488664627075,6,10,50,22.0
