target,target_name,render_seed,submission_rank,branch,iteration,candidate_index,prompt,render,top3_render,clip_similarity,lpips,pixel_mse,pixel_rmse,rank_clip,rank_lpips,rank_mse,rank_composite
statement/TP2-students/students/tp2-chosen/1159_25.png,1159_25.png,1159,1,clip,1,2,"Glass of orange juice, vibrant orange slices, creamy texture, photorealistic, smooth!",outputs/phase4/1159_25/clip/iter01_01.png,outputs/phase4_top3/1159_25_rank1_clip_cand002.png,0.9374335408210754,0.5006363391876221,0.02362045831978321,0.15368948876857758,1,2,1,1.333
statement/TP2-students/students/tp2-chosen/1159_25.png,1159_25.png,1159,2,clip,1,3,"Orange juice, glass with slice, vibrant oranges, creamy texture, photorealistic, smooth!",outputs/phase4/1159_25/clip/iter01_02.png,outputs/phase4_top3/1159_25_rank2_clip_cand003.png,0.9363301992416382,0.5504050254821777,0.028575504198670387,0.1690429002046585,2,4,2,2.667
statement/TP2-students/students/tp2-chosen/1159_25.png,1159_25.png,1159,3,warm,0,1,"Orange juice, there is a glass of orange juice with a slice of orange on the side, 3 d image, photostock, octane realphoto, top milk brands, white border and background, scp-914, unsplash photography, smooth!]",outputs/phase4/1159_25/_warm/warm.png,outputs/phase4_top3/1159_25_rank3_warm_cand001.png,0.9007633924484253,0.5242483615875244,0.03760187327861786,0.19391202926635742,3,3,3,3.0
statement/TP2-students/students/tp2-chosen/1159_29.png,1159_29.png,1159,1,warm,0,1,"The palm tree on the beach at sunset, arafed palm tree on a rock in the ocean at sunset, photorender, trees growing on its body, flooded ground, octane realphoto, under the soft shadow of a tree, hazy water, twisted trunk, water swirling, deblurring, by Matthias Weischer, photoshoped, by Robert Koehler, 3 drender, high-definition photograph",outputs/phase4/1159_29/_warm/warm.png,outputs/phase4_top3/1159_29_rank1_warm_cand001.png,0.9146667718887329,0.7094648480415344,0.045111771672964096,0.2123953253030777,1,1,1,1.0
statement/TP2-students/students/tp2-chosen/1159_29.png,1159_29.png,1159,2,clip,1,3,"Palm tree on rocky island in ocean at sunset, photorealistic, trees growing on trunk, flooded ground, octane render, under soft shadow, hazy water, twisted trunk, water swirling, by Matthias Weischer, photoshopped, by",outputs/phase4/1159_29/clip/iter01_03.png,outputs/phase4_top3/1159_29_rank2_clip_cand003.png,0.8900616765022278,0.7479217648506165,0.06325703114271164,0.25150951743125916,2,2,2,2.0
statement/TP2-students/students/tp2-chosen/1159_29.png,1159_29.png,1159,3,clip,1,2,"Palm tree on rocky island in ocean at sunset, photorealistic, trees growing on trunk, flooded ground, octane render, under soft shadow, hazy water, twisted trunk, water swirling, by Matthias Weischer, photoshopped, by Robert Koehler, 3d render, high-definition photograph",outputs/phase4/1159_29/clip/iter01_01.png,outputs/phase4_top3/1159_29_rank3_clip_cand002.png,0.8501619100570679,0.7541332840919495,0.06651800870895386,0.2579108476638794,3,3,3,3.0
statement/TP2-students/students/tp2-chosen/1159_3.png,1159_3.png,1159,1,mse,1,12,"ash blond female character with fire emanating from her hands, wearing tactical gear, holding a sword, inspired by Mandy Jurgens, Yanjun Cheng, visibly angry, official character illustration, fireball lighting her face, asymmetrical artwork",outputs/phase4/1159_3/mse/iter01_04.png,outputs/phase4_top3/1159_3_rank1_mse_cand012.png,0.849285364151001,0.5617532134056091,0.039346642792224884,0.198359876871109,3,1,1,1.667
statement/TP2-students/students/tp2-chosen/1159_3.png,1159_3.png,1159,2,mse,2,22,"ash blond female character with fire emanating from her hands, wearing tactical gear, holding a sword, inspired by Mandy Jurgens, Yanjun Cheng, officially illustrated, fireball lighting her face, asymmetrical artwork",outputs/phase4/1159_3/mse/iter02_02.png,outputs/phase4_top3/1159_3_rank2_mse_cand022.png,0.8286726474761963,0.6179390549659729,0.04177427291870117,0.20438756048679352,14,2,3,6.333
statement/TP2-students/students/tp2-chosen/1159_3.png,1159_3.png,1159,3,lpips,4,30,"ash blond female character with fire emanating from her hands, anime style, wearing armor, holding a sword, inspired by Mandy Jurgens, Yanjun Cheng, visibly angry, official character illustration, fireball lighting her face, detailed textures, sharp lines, detailed shading, intricate details, asymmetrical artwork",outputs/phase4/1159_3/lpips/iter04_01.png,outputs/phase4_top3/1159_3_rank3_lpips_cand030.png,0.8389863967895508,0.6316750645637512,0.042387161403894424,0.20588143169879913,7,10,4,7.0
statement/TP2-students/students/tp2-chosen/1159_7.png,1159_7.png,1159,1,clip,1,3,"A hedgehog, small hedgehog, crystal hair, Kim Keever, SCP-914, unique design, checkered spikes, translucent cube, fluffy, feathered head, checkered pattern, photo of head",outputs/phase4/1159_7/clip/iter01_03.png,outputs/phase4_top3/1159_7_rank1_clip_cand003.png,0.7408829927444458,0.6121842861175537,0.025476394221186638,0.15961326658725739,3,1,2,2.0
statement/TP2-students/students/tp2-chosen/1159_7.png,1159_7.png,1159,2,composite,1,8,"A hedgehog, small hedgehog, crystal hair, Kim Keever, SCP-914, unique design, checkered spikes, translucent cube, fluffy, feathered head, checkered pattern, photo of head",outputs/phase4/1159_7/composite/iter01_03.png,outputs/phase4_top3/1159_7_rank2_composite_cand008.png,0.7408829927444458,0.6121842861175537,0.025476394221186638,0.15961326658725739,4,2,3,3.0
statement/TP2-students/students/tp2-chosen/1159_7.png,1159_7.png,1159,3,mse,1,6,"A hedgehog, small hedgehog, crystal translucent hair, Kim Keever style, SCP-914, unique design, checkered spikes, translucent cube, fluffy, optical illusion, photo of head, detailed texture",outputs/phase4/1159_7/mse/iter01_05.png,outputs/phase4_top3/1159_7_rank3_mse_cand006.png,0.7391769886016846,0.6359273195266724,0.024227268993854523,0.15565110743045807,5,3,1,3.0
