target,render_seed,submission_rank,branch,iteration,candidate_index,prompt,image,clip_similarity,lpips,pixel_mse,pixel_rmse,rank_composite
1159_25.png,1159,1,clip,4,62,"Glass of fresh orange juice, enhanced by scattered citrus pieces, rendered in photorealistic style.",1159_25_rank1_borda_cand062.png,0.9433757066726685,0.404520183801651,0.018780622631311417,0.13704241812229156,5.0
1159_25.png,1159,2,clip,5,82,"Glass of vibrant orange juice, accentuated by scattered citrus pieces, rendered in photorealistic style.",1159_25_rank2_borda_cand082.png,0.9407362341880798,0.388462632894516,0.016870800405740738,0.1298876404762268,5.333
1159_25.png,1159,3,composite,6,117,"Clear glass filled with vibrant orange juice, topped with a slice of ripe orange, scattered pieces of juicy fruit around, warm lighting, photorealistic renderings!",1159_25_rank3_borda_cand117.png,0.9535449743270874,0.43442776799201965,0.023776443675160408,0.1541961282491684,8.333
1159_29.png,1159,1,mse,7,133,"the palm tree on a solitary island in the ocean at dusk, dense green leaves against radiant horizon, thick trunk, rough rocks encircle roots, tranquil waves washing sand, soft evening light illuminating scene, precise photorender",1159_29_rank1_borda_cand133.png,0.9246314167976379,0.5918318629264832,0.03083070181310177,0.1755867302417755,3.333
1159_29.png,1159,2,mse,9,176,"the tall palm tree on a solitary island in deep blue seas at dusk, vibrant green fronds against radiant horizon, thick",1159_29_rank2_borda_cand176.png,0.9016770720481873,0.5505619645118713,0.03258739411830902,0.18051978945732117,15.667
1159_29.png,1159,3,lpips,2,31,"the palm tree on the solitary rock at sundown, dense green foliage against glowing sky, photorealistic rendering, detailed bark patterns, smooth waves lapping around stones, vivid saturations, softly lit clouds",1159_29_rank3_borda_cand031.png,0.9057164192199707,0.632080614566803,0.03482000157237053,0.1866011768579483,19.333
1159_3.png,1159,1,composite,2,40,"a determined ash-haired girl summoning fireballs, sleek silver armor, warm bronze tones, slightly left-aligned composition, moody atmosphere, saturated colors, intricate details, focused gaze, electric energy, striking visuals",1159_3_rank1_borda_cand040.png,0.8096388578414917,0.5988311171531677,0.0327174998819828,0.18087978661060333,13.333
1159_3.png,1159,2,composite,5,93,"Ash-haired female warrior unleashing flames, sleek silver armor, warm copper tones, slightly left-aligned framing, moody ambiance, vibrant colors, precise outlines, focused eye, electric charge, compelling scene",1159_3_rank2_borda_cand093.png,0.8193128108978271,0.6077486872673035,0.0351361446082592,0.18744637072086334,15.0
1159_3.png,1159,3,mse,5,89,a determined ash-haired fighter brandishing fiery,1159_3_rank3_borda_cand089.png,0.8426224589347839,0.6153192520141602,0.03565749526023865,0.18883192539215088,17.667
1159_7.png,1159,1,mse,6,114,"Hedgehog, sandy beige coat, shiny quills, sponge-texture, Kim Keever’s piece, SCP-914, detailed patterns, checkered spikes, frosted glass cube, subdued evening light",1159_7_rank1_borda_cand114.png,0.7726267576217651,0.5790461301803589,0.01589026488363743,0.12605659663677216,15.0
1159_7.png,1159,2,clip,9,162,"Hedgehog, light beige fur, adorable hedgehog resting on sugary cube, Kim Keever's art, SCP-914, detailed design, checkered spikes, translucent sugar blocks, warm ambient light, evening setting",1159_7_rank2_borda_cand162.png,0.7498621940612793,0.49165964126586914,0.018620572984218597,0.13645721971988678,21.0
1159_7.png,1159,3,mse,4,74,"A hedgehog, sandy beige coat, sparkling quills, sponge-like surface, Kim Keever’s piece, SCP-914, detailed patterns, checkered spikes, frosted glass cube, subtle evening light",1159_7_rank3_borda_cand074.png,0.7714883685112,0.5864465832710266,0.017301449552178383,0.13153497874736786,21.667
7836.png,7836,1,composite,9,177,"Astronaut, astronaut standing on the reddish-brown planet's surface against swirling nebulae, flat matte painting, vertical wallpaper, to infinity and beyond, gazing off into the horizon, cover art, dark blurry background",7836_rank1_borda_cand177.png,0.9153784513473511,0.446243554353714,0.011032741516828537,0.10503685474395752,3.0
7836.png,7836,2,composite,5,100,"Astronaut, astronaut standing on the reddish-brown planet's surface under swirling nebulae, flat matte painting, vertical wallpaper",7836_rank2_borda_cand100.png,0.9261101484298706,0.47113800048828125,0.009964554570615292,0.09982261806726456,4.667
7836.png,7836,3,lpips,9,168,"The astronaut, astronaut standing on the rust-colored planet's surface with a shimmering nebula overhead, flat matte painting, vertical wallpaper, to infinity and beyond, gazing off into the horizon, cover art, dark blurry background",7836_rank3_borda_cand168.png,0.9072867035865784,0.4629440903663635,0.01238370779901743,0.1112821102142334,7.0
9338.png,9338,1,clip,7,123,"Rainbow-colored hamster, painting of a mouse with vivid hues and textured fur, Julie Dillon style, warm volumetric lighting, squirrel king artwork, showcased at dusk",9338_rank1_borda_cand123.png,0.8793960809707642,0.5111527442932129,0.016066214069724083,0.126752570271492,9.667
9338.png,9338,2,mse,11,195,"Rainbow-colored hamster, vivid shades, high saturation, detailed fur pattern, central focus, Julie Dillon artwork, volumetric illumination, squirrel king illustration, Dribble exhibit, Andrew Stevovich rendering technique",9338_rank2_borda_cand195.png,0.8805320858955383,0.47793927788734436,0.016803421080112457,0.1296280175447464,12.667
9338.png,9338,3,clip,9,154,"Rainbow-colored hamster, painting of a mouse with richly saturated fur and detailed texture, Julie Dillon style, warm volumetric lighting, squirrel king artwork, centered composition",9338_rank3_borda_cand154.png,0.8400170803070068,0.514227032661438,0.01575290784239769,0.1255105882883072,23.333
